"Input","Reference","Output","Prefix match","Oracle match"
"Did M3 ' s cinematographer and star edit , direct , and write M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M3 . ?x0 film.cinematographer.film M3 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M3 . ?x0 film.director.film M0 . ?x0 film.editor.film M1 . ?x0 film.director.film M2 . ?x0 film.writer.film M0 . ?x0 film.actor.film/ns:film.performance.film M3 . ?x0 film.writer.film M1 }","False","False"
"Did M3 ' s cinematographer direct , executive produce , produce , and edit M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M3 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M3 . ?x0 film.director.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M0 }","False","False"
"Did M3 ' s cinematographer produce , executive produce , direct , and write M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M3 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M3 . ?x0 film.director.film M1 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M1 }","False","False"
"Did M6 ' s cinematographer , director , and producer edit M0 and M1 and executive produce M2 , M3 , M4 , and M5","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M6 . ?x0 film.director.film M6 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.films_executive_produced M3 . ?x0 film.producer.films_executive_produced M4 . ?x0 film.producer.films_executive_produced M5 . ?x0 film.producer.film|ns:film.production_company.films M6 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M0 . ?x0 film.editor.film M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.films_executive_produced M3 . ?x0 film.producer.films_executive_produced M4 . ?x0 film.producer.films_executive_produced M5 . ?x0 film.director.film M5 . ?x0 film.producer.film|ns:film.production_company.films M2 . M6 film.editor.film M3 . M6 film.producer.films_executive_produced M4 . M6 film.producer.films_executive_produced M5 . M6 film.producer.film|ns:film.production_company.films M6 film.producer.film|ns:film.production_company.films M6 film.producer.film|ns:film.production_company.films M6 film.producer.film|ns:film.production_company.films M6 }","False","False"
"Did M3 ' s director executive produce , edit , produce , and direct M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.director.film M3 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 }","SELECT count ( * ) WHERE { ?x0 film.director.film M3 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.director.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M0 }","False","False"
"Did M3 ' s director executive produce , edit , write , produce , and direct M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.director.film M3 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 }","SELECT count ( * ) WHERE { ?x0 film.director.film M3 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.director.film M2 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M0 }","False","False"
"Did M3 ' s director write , executive produce , direct , and produce M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.director.film M3 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 }","SELECT count ( * ) WHERE { ?x0 film.director.film M3 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M0 }","False","False"
"Did M2 ' s editor and cinematographer edit , produce , and executive produce M0 and M1","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M2 }","False","False"
"Did M3 ' s editor executive produce , write , edit , and direct M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.editor.film M3 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 }","SELECT count ( * ) WHERE { ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M3 . ?x0 film.writer.film M0 }","False","False"
"Did M3 ' s male writer direct , edit , produce , and executive produce M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M3 . ?x0 people.person.gender m_05zppz }","SELECT count ( * ) WHERE { ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.writer.film M2 . ?x0 people.person.gender m_05zppz }","False","False"
